Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,Bucher.ate,Bucher.bias,Bucher.mae,Bucher.mse,Bucher.empse,Bucher.vr,Bucher.cov,Bucher.ciwidth,Bucher.std_bias
1,N_AC100b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.400477567,0.4,0,0.2,normal,-0.013647502,-0.013647502,0.43336535,0.300535301,0.548315326,1.120402311,0.915,1.918379282,-2.488987849,78.57730925,-0.041937139,-0.041937139,0.490107968,0.389822293,0.623259193,1.051861509,0.938,2.322673775,-6.728683579,-0.009364347,-0.009364347,0.434552421,0.299001568,0.547003738,1.041797885,0.94,2.058187373,-1.711934711,78.57730925,-0.060174755,-0.060174755,0.522405541,0.445962082,0.665420066,1.083864137,0.929,2.406573517,-9.043123063,-0.064156281,-0.064156281,0.390986864,0.240547233,0.486485224,0.995117003,0.951,1.916344539,-13.18771414
2,N_AC300b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.400477567,0.4,0,0.2,normal,-0.015145527,-0.015145527,0.29519818,0.136955261,0.369949641,1.085180076,0.933,1.336345901,-4.093942759,237.522332,-0.026547558,-0.026547558,0.313730403,0.153869464,0.391558436,1.021667233,0.95,1.502329542,-6.779973397,-0.011508448,-0.011508448,0.294054179,0.136079902,0.368895027,1.020511089,0.95,1.416978169,-3.11970813,237.522332,-0.029931974,-0.029931974,0.308662252,0.148933644,0.384949226,1.025997672,0.949,1.470737488,-7.775564151,-0.053916835,-0.053916835,0.281715753,0.122865182,0.346523066,1.015223587,0.951,1.337976657,-15.55937826
3,N_AC1000b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.400477567,0.4,0,0.2,normal,-0.02448737,-0.02448737,0.224050472,0.079062015,0.280251539,1.026000794,0.941,1.070726115,-8.737639741,797.6212101,-0.032047209,-0.032047209,0.23555062,0.087787611,0.294698889,0.998481434,0.948,1.15695533,-10.87456041,-0.024069316,-0.024069316,0.223400233,0.078908964,0.280014357,0.995446923,0.949,1.10265659,-8.595743506,797.6212101,-0.033218929,-0.033218929,0.236350531,0.088289016,0.295419687,0.998872982,0.948,1.159330479,-11.24465654,-0.060542082,-0.060542082,0.222411671,0.077914895,0.272624055,0.997256227,0.938,1.071606905,-22.20716792
4,N_AC100b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.400477567,0.4,0,0.2,normal,0.022006321,0.022006321,0.412348089,0.270405054,0.519798968,1.100611326,0.932,1.851311599,4.233621492,78.02364984,-0.011774121,-0.011774121,0.468357235,0.347603111,0.58975613,1.031024252,0.948,2.242237799,-1.996438905,0.023836232,0.023836232,0.413403946,0.270302944,0.519619844,1.02181457,0.947,1.99338747,4.587244373,78.02364984,-0.023067196,-0.023067196,0.500133026,0.397105482,0.630055837,1.061239388,0.94,2.327253893,-3.66113518,-0.022979708,-0.022979708,0.383048553,0.226012189,0.475089288,1.007929693,0.953,1.847664376,-4.836923946
5,N_AC300b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.400477567,0.4,0,0.2,normal,-0.026281526,-0.026281526,0.292405125,0.130798728,0.360885366,1.091791964,0.939,1.295708968,-7.282513736,237.7292491,-0.046972287,-0.046972287,0.311954098,0.150475257,0.385249631,1.032093636,0.953,1.463191664,-12.19268828,-0.026482754,-0.026482754,0.291154825,0.129290819,0.358773188,1.024796038,0.952,1.372336546,-7.381475296,237.7292491,-0.048892772,-0.048892772,0.305884753,0.144492723,0.377153105,1.033909668,0.952,1.429924731,-12.96364043,-0.057236924,-0.057236924,0.276536541,0.115478228,0.335133522,1.013664868,0.952,1.295989737,-17.07884182
6,N_AC1000b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.693147181,0.400477567,0.4,0,0.2,normal,-0.017782426,-0.017782426,0.220182922,0.07672313,0.276556322,1.040859935,0.939,1.041524247,-6.429947407,797.1962875,-0.028991264,-0.028991264,0.230881046,0.085094186,0.290410108,1.010931113,0.944,1.126077427,-9.982870115,-0.016720838,-0.016720838,0.218895345,0.075990776,0.275294346,1.006982852,0.944,1.071650826,-6.073803681,797.1962875,-0.029145732,-0.029145732,0.231798767,0.085636294,0.291327465,1.010884483,0.943,1.129686622,-10.00445729,-0.051831885,-0.051831885,0.215877257,0.073879281,0.26695318,1.004341928,0.949,1.041913324,-19.41609563
7,N_AC100b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,1.108662625,0.400477567,0.4,0,0.2,normal,0.0050837,0.0050837,0.422103827,0.280402778,0.529771264,1.107013549,0.932,1.875916691,0.959602798,78.55446055,-0.049583856,-0.049583856,0.490688795,0.381059275,0.615613268,1.04810617,0.944,2.302400022,-8.054383906,0.009474192,0.009474192,0.418272146,0.276414715,0.525929231,1.027387335,0.955,2.006647964,1.801419485,78.55446055,-0.065312493,-0.065312493,0.520793142,0.43022375,0.652981173,1.073929361,0.942,2.383433451,-10.00220158,-0.036389504,-0.036389504,0.386813675,0.236945861,0.485651647,1.018779159,0.95,1.868628208,-7.492922998
8,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,1.108662625,0.400477567,0.4,0,0.2,normal,-0.004020299,-0.004020299,0.282628344,0.123577019,0.35168813,1.038844079,0.955,1.327044324,-1.143143241,238.5495954,-0.031297075,-0.031297075,0.302936437,0.143272398,0.37740605,0.983017001,0.962,1.504963321,-8.292679716,-0.002219606,-0.002219606,0.280244819,0.122566804,0.35026356,0.980982021,0.962,1.399625985,-0.633695955,238.5495954,-0.033737926,-0.033737926,0.297882759,0.138305373,0.370546124,0.986996955,0.961,1.471650047,-9.104919442,-0.038866993,-0.038866993,0.269125338,0.113211248,0.334383637,0.988491611,0.953,1.326020128,-11.62347323
9,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,1.108662625,0.400477567,0.4,0,0.2,normal,-0.011974042,-0.011974042,0.221796383,0.079680496,0.282164377,1.024111119,0.948,1.080023458,-4.243640482,796.24923,-0.034859654,-0.034859654,0.236213944,0.089571316,0.29739631,0.996153357,0.953,1.170273738,-11.72161603,-0.01037956,-0.01037956,0.221291661,0.079086115,0.281171544,0.994097915,0.959,1.108715936,-3.691540125,796.24923,-0.036090608,-0.036090608,0.237523748,0.090875216,0.299436715,0.999589576,0.952,1.174252295,-12.05283317,-0.047216226,-0.047216226,0.219375401,0.078157563,0.275688583,1.000741165,0.957,1.079879019,-17.12665248
10,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.693147181,0.4,0,0.2,normal,0.0100786,0.0100786,0.421382178,0.282724421,0.53188885,1.106397416,0.927,1.884463889,1.894869564,78.22317005,-0.005964802,-0.005964802,0.477511216,0.363739992,0.603380876,1.037033627,0.95,2.280745301,-0.98856325,0.015569259,0.015569259,0.418785243,0.27863018,0.527888667,1.02126459,0.949,2.026199251,2.949345271,78.22317005,-0.011397113,-0.011397113,0.508849653,0.414018582,0.643663725,1.068104742,0.943,2.362235966,-1.770662695,-0.071720263,-0.071720263,0.383938602,0.239350017,0.484190729,1.00681236,0.945,1.885150456,-14.81239912
