,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,Bucher.ate,Bucher.bias,Bucher.mae,Bucher.mse,Bucher.empse,Bucher.vr,Bucher.cov,Bucher.ciwidth,Bucher.std_bias
1,N_AC100b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.400477567,0.4,0,0.2,normal,0.062436677,0.062436677,3.067882062,14.82165828,3.851310496,1.116837547,0.921,13.51750733,1.621180041,78.57730925,0.05184578,0.05184578,3.255100509,16.86465533,4.108387298,1.021593362,0.943,15.76418062,1.261949676,0.047889942,0.047889942,3.094623608,15.02832786,3.878282544,1.059390576,0.939,14.35031475,1.234823448,78.57730925,0.052004241,0.052004241,3.367531211,18.0550878,4.25093564,1.020255029,0.942,16.33254533,1.22335988,0.041201327,0.041201327,2.721635464,11.94704304,3.457933312,1.000799447,0.945,13.54402179,1.191501495
2,N_AC300b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.400477567,0.4,0,0.2,normal,-0.012182809,-0.012182809,2.058378927,6.669484209,2.583797941,1.054444885,0.935,9.605340177,-0.47150779,237.522332,-0.010261433,-0.010261433,2.168800799,7.372010489,2.716483844,0.994674263,0.945,10.70543533,-0.37774687,-0.016209005,-0.016209005,2.055732967,6.626159538,2.575369747,0.995441671,0.946,10.14149217,-0.629385538,237.522332,-0.011985746,-0.011985746,2.121948303,7.044279799,2.655407187,0.993766857,0.945,10.47429267,-0.451371311,-0.072791841,-0.072791841,1.90763985,5.816360102,2.411820542,0.984036385,0.953,9.607533772,-3.018128407
3,N_AC1000b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.400477567,0.4,0,0.2,normal,-0.073157608,-0.073157608,1.554353746,3.898004237,1.973967768,0.999919075,0.944,7.738437699,-3.7061197,797.6212101,-0.064352476,-0.064352476,1.63111869,4.308259983,2.075675112,0.975933672,0.948,8.337141305,-3.100315439,-0.060610365,-0.060610365,1.554453119,3.907159955,1.97671286,0.97428633,0.949,7.953074765,-3.066219988,797.6212101,-0.065762305,-0.065762305,1.635884482,4.327151822,2.080181313,0.974995651,0.948,8.363279265,-3.161373711,-0.084805054,-0.084805054,1.503912394,3.676872943,1.916599697,0.970753144,0.948,7.739282437,-4.424766131
4,N_AC100b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.400477567,0.4,0,0.2,normal,-0.068123446,-0.068123446,2.988671564,14.38323764,3.793809408,1.095087916,0.918,13.58015132,-1.795647565,78.02364984,-0.101942874,-0.101942874,3.206158467,16.43751583,4.055066836,0.999642629,0.938,15.90125255,-2.513962864,-0.078784491,-0.078784491,3.009932041,14.55778414,3.81656171,1.031307283,0.933,14.50648826,-2.06427923,78.02364984,-0.099419784,-0.099419784,3.311883598,17.58848941,4.19478263,1.00069652,0.938,16.43180067,-2.370081913,-0.111471555,-0.111471555,2.780511623,12.38029029,3.518557179,1.015460869,0.94,13.58249355,-3.168104123
5,N_AC300b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.400477567,0.4,0,0.2,normal,0.023471952,0.023471952,2.03653339,6.47098732,2.544978055,1.039196786,0.942,9.599847495,0.922285027,237.7292491,0.013790382,0.013790382,2.152963855,7.156940901,2.676549017,0.980048348,0.957,10.70547119,0.515229948,0.018118363,0.018118363,2.045639757,6.470002852,2.544828232,0.983613595,0.96,10.14172985,0.711967999,237.7292491,0.017519912,0.017519912,2.108050887,6.869685016,2.622261299,0.982213484,0.954,10.46521512,0.668122273,0.027021167,0.027021167,1.989174347,5.911647022,2.432454257,0.993248808,0.955,9.599855943,1.11086024
6,N_AC1000b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.693147181,0.400477567,0.4,0,0.2,normal,0.011453302,0.011453302,1.585348495,3.927413581,1.982728831,1.003357621,0.956,7.746145579,0.577653461,797.1962875,0.020446512,0.020446512,1.66244365,4.319014312,2.079163094,0.976198175,0.955,8.348888344,0.983401056,0.019413771,0.019413771,1.588017418,3.936304857,1.984910031,0.977142027,0.955,7.962715891,0.978068037,797.1962875,0.021051594,0.021051594,1.669005688,4.357740857,2.088458605,0.977870444,0.955,8.371873137,1.007996687,0.014749524,0.014749524,1.571284915,3.818185646,1.954939868,0.989183375,0.954,7.747020078,0.754474556
7,N_AC100b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,1.108662625,0.400477567,0.4,0,0.2,normal,0.059851685,0.059851685,2.926335308,13.75625976,3.710315887,1.073566439,0.93,13.54752766,1.613115625,78.55446055,0.025779608,0.025779608,3.090280889,15.39420808,3.925423855,0.972247902,0.951,15.82660013,0.656734391,0.05107915,0.05107915,2.9022026,13.54957605,3.682462151,1.002086291,0.946,14.40493349,1.387092339,78.55446055,0.019691977,0.019691977,3.204567976,16.49920752,4.063906382,0.971898948,0.953,16.39081956,0.484557836,-0.027239799,-0.027239799,2.613190634,10.75487675,3.28099065,0.947124162,0.957,13.57926186,-0.830230914
8,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,1.108662625,0.400477567,0.4,0,0.2,normal,-0.110052985,-0.110052985,2.150372749,7.250483831,2.691768524,1.098483259,0.926,9.605552601,-4.088501089,238.5495954,-0.132425473,-0.132425473,2.252059793,7.997216693,2.826246248,1.03543615,0.942,10.69953151,-4.685560329,-0.125198467,-0.125198467,2.141372348,7.208335288,2.683255577,1.0376299,0.945,10.13672465,-4.66591657,238.5495954,-0.131592653,-0.131592653,2.19980012,7.628641439,2.760243423,1.034579012,0.94,10.45831712,-4.767429268,-0.147767186,-0.147767186,2.074684893,6.623720965,2.570699188,1.049117585,0.941,9.605172755,-5.74813212
9,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,1.108662625,0.400477567,0.4,0,0.2,normal,-0.000284625,-0.000284625,1.6385126,4.200762248,2.050601652,1.039293509,0.944,7.734302871,-0.013880077,796.24923,0.005138649,0.005138649,1.711060651,4.567655814,2.138270706,1.00614621,0.953,8.330665123,0.240317991,0.004804915,0.004804915,1.632030528,4.153187385,2.038951108,1.004965469,0.953,7.953050845,0.235656195,796.24923,0.002439817,0.002439817,1.717476879,4.601370467,2.146152484,1.006361399,0.953,8.359584492,0.113683321,-0.03996276,-0.03996276,1.570817482,3.860459998,1.965381821,0.996079697,0.953,7.734476664,-2.033333149
10,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.693147181,0.4,0,0.2,normal,-0.095831359,-0.095831359,3.083327669,14.5755371,3.81849897,1.107430658,0.923,13.51618795,-2.509660473,78.22317005,-0.111834265,-0.111834265,3.258354305,16.51158357,4.063938023,1.009815676,0.942,15.77549716,-2.751869361,-0.113121278,-0.113121278,3.081721838,14.56794171,3.817029605,1.039815964,0.933,14.38954741,-2.963594451,78.22317005,-0.120833598,-0.120833598,3.373393165,17.68722308,4.205985334,1.009766402,0.941,16.3276967,-2.872896321,-0.092088629,-0.092088629,2.834767269,12.38635887,3.519981367,1.020708994,0.94,13.51812661,-2.616168078
