Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,Bucher.ate,Bucher.bias,Bucher.mae,Bucher.mse,Bucher.empse,Bucher.vr,Bucher.cov,Bucher.ciwidth,Bucher.std_bias
1,N_AC100b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.400477567,0.4,0,0.2,normal,-0.038147424,-0.038147424,0.226774547,0.081503833,0.283070196,1.022046437,0.941,1.085679415,-13.47631239,78.57730925,-0.082521527,-0.082521527,0.259028998,0.108404826,0.318899232,1.038946595,0.931,1.20320142,-25.8769914,-0.039449623,-0.039449623,0.227904591,0.082989268,0.28550746,1.019590198,0.944,1.0976652,-13.8173702,78.57730925,-0.098318867,-0.098318867,0.275950462,0.122339941,0.33583646,1.055936791,0.927,1.246717363,-29.27581698,-0.096131289,-0.096131289,0.227008695,0.080756417,0.267557058,1.022539168,0.934,1.025686279,-35.92926687
2,N_AC300b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.400477567,0.4,0,0.2,normal,-0.034330641,-0.034330641,0.15294018,0.03730551,0.190165928,0.996067387,0.945,0.74837983,-18.05299281,237.522332,-0.055236917,-0.055236917,0.165668655,0.044240853,0.2030541,1.002038168,0.937,0.794338449,-27.20305444,-0.037181142,-0.037181142,0.150345843,0.036528878,0.187567648,0.979424766,0.949,0.750697444,-19.82279047,237.522332,-0.057546489,-0.057546489,0.163087037,0.04288652,0.199034007,1.005052688,0.935,0.776276686,-28.91289294,-0.09201055,-0.09201055,0.163175845,0.042390342,0.184277938,1.010492652,0.913,0.714855514,-49.93031241
3,N_AC1000b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.400477567,0.4,0,0.2,normal,-0.02691797,-0.02691797,0.126747888,0.025476818,0.157407172,1.054539495,0.927,0.585113009,-17.10085331,797.6212101,-0.037723637,-0.037723637,0.134898735,0.028806829,0.165563181,1.055583042,0.928,0.614822064,-22.78503968,-0.030099873,-0.030099873,0.1275218,0.025537935,0.157024169,1.051094943,0.932,0.585602125,-19.16894243,797.6212101,-0.038576562,-0.038576562,0.135394687,0.028978836,0.165886115,1.055128665,0.928,0.616286566,-23.25484681,-0.085443551,-0.085443551,0.141090115,0.031199905,0.154671355,1.059595831,0.901,0.572199845,-55.24200052
4,N_AC100b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.400477567,0.4,0,0.2,normal,-0.019778018,-0.019778018,0.226263717,0.081102767,0.28424002,1.039257135,0.943,1.072112346,-6.958210088,78.02364984,-0.076205897,-0.076205897,0.257521347,0.104713248,0.314650464,1.03900398,0.94,1.187105322,-24.21922296,-0.02713528,-0.02713528,0.221507669,0.077632951,0.277441168,1.002951734,0.958,1.084348684,-9.780552768,78.02364984,-0.090909067,-0.090909067,0.271873791,0.11670682,0.329470655,1.051365775,0.931,1.228403345,-27.59246261,-0.082190717,-0.082190717,0.217673731,0.073441969,0.258366809,1.004661745,0.937,1.00807987,-31.81163923
5,N_AC300b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.400477567,0.4,0,0.2,normal,-0.002757741,-0.002757741,0.142865404,0.032196477,0.179502349,0.955684779,0.96,0.73626398,-1.536325959,237.7292491,-0.037446268,-0.037446268,0.160028442,0.040170685,0.196995607,0.988159892,0.949,0.781461176,-19.0086817,-0.012586643,-0.012586643,0.144780474,0.033228297,0.181942234,0.965431198,0.961,0.738737731,-6.917933727,237.7292491,-0.040155423,-0.040155423,0.157624004,0.038791545,0.192915276,0.989447764,0.947,0.764278836,-20.81505605,-0.061972043,-0.061972043,0.145803044,0.033358731,0.171894575,0.958835044,0.945,0.702742727,-36.05235502
6,N_AC1000b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.693147181,0.400477567,0.4,0,0.2,normal,-0.01180794,-0.01180794,0.119112922,0.022161674,0.148473199,1.008381456,0.947,0.577166747,-7.952910347,797.1962875,-0.03738215,-0.03738215,0.130256534,0.026232853,0.157671458,1.02138041,0.938,0.60512298,-23.70888818,-0.021501923,-0.021501923,0.119475852,0.022318884,0.147913587,1.003732364,0.95,0.577654591,-14.53681392,797.1962875,-0.038730874,-0.038730874,0.130939607,0.026447258,0.158025786,1.0198002,0.936,0.60742261,-24.50921154,-0.070011356,-0.070011356,0.130454218,0.026026825,0.145417956,1.011626584,0.929,0.563476604,-48.14491843
7,N_AC100b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,1.108662625,0.400477567,0.4,0,0.2,normal,0.004124359,0.004124359,0.230080906,0.084537202,0.290869037,1.085802051,0.932,1.050086129,1.41794362,78.55446055,-0.075564815,-0.075564815,0.264605517,0.109371193,0.322125623,1.086283007,0.925,1.162412771,-23.45818203,-0.012433835,-0.012433835,0.233787881,0.086581346,0.294131511,1.085756303,0.920920921,1.061908951,-4.227304645,78.5586039,-0.090529466,-0.090529466,0.281293966,0.123450849,0.339662532,1.105718812,0.915,1.204151223,-26.65276776,-0.047503481,-0.047503481,0.219136523,0.076459081,0.272537661,1.083024688,0.936,0.986429962,-17.43006115
8,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,1.108662625,0.400477567,0.4,0,0.2,normal,0.008311345,0.008311345,0.152175077,0.036490755,0.190940134,1.035507342,0.945,0.722806628,4.352853623,238.5495954,-0.048608606,-0.048608606,0.169512703,0.044781773,0.206061734,1.052465045,0.926,0.767481219,-23.58934122,-0.009370006,-0.009370006,0.152310502,0.036277035,0.19032988,1.028877622,0.944,0.725139126,-4.923034546,238.5495954,-0.050734249,-0.050734249,0.166629073,0.043205708,0.201674035,1.054155799,0.925,0.749934393,-25.15655957,-0.044624606,-0.044624606,0.14876944,0.034655113,0.180821608,1.02960174,0.932,0.688428981,-24.67880177
9,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,1.108662625,0.400477567,0.4,0,0.2,normal,0.002015704,0.002015704,0.115520706,0.021355316,0.146193796,1.011650796,0.946,0.566469332,1.378788788,796.24923,-0.051587182,-0.051587182,0.12830979,0.026008804,0.152875561,1.008907982,0.93,0.593970111,-33.74455805,-0.016939613,-0.016939613,0.116890074,0.021795881,0.146732619,1.014528832,0.942,0.566944258,-11.54454477,796.24923,-0.052852859,-0.052852859,0.129109989,0.026244416,0.153213792,1.007582446,0.929,0.596067378,-34.49614982,-0.051938056,-0.051938056,0.120584015,0.022797854,0.141846442,1.007178592,0.928,0.552064789,-36.61569135
10,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.693147181,0.4,0,0.2,normal,-0.051541861,-0.051541861,0.225443323,0.079353839,0.277081304,1.04402492,0.93,1.040337959,-18.60171018,78.22317005,-0.067290699,-0.067290699,0.262344405,0.106325097,0.319216162,1.076536307,0.93,1.162342927,-21.07997864,-0.054137218,-0.054137218,0.225162182,0.079192584,0.276293474,1.027395591,0.941,1.054170883,-19.59409952,78.22317005,-0.075076531,-0.075076531,0.276961196,0.118573857,0.336229716,1.093225218,0.925,1.205603608,-22.32893976,-0.148730815,-0.148730815,0.241994315,0.090649032,0.261909857,1.034807849,0.893,0.992133733,-56.78702455
