Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,NAIVE.ate,NAIVE.bias,NAIVE.mae,NAIVE.mse,NAIVE.empse,NAIVE.vr,NAIVE.cov,NAIVE.ciwidth,NAIVE.std_bias
1,N_AC100b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.400477567,0.4,0,0.2,normal,-0.075004145,-0.075004145,0.363046136,0.21056556,0.452929447,1.02424973,0.943,1.733415937,-16.55978562,29.11910984,-0.167123275,-0.167123275,0.409219379,0.28918528,0.511386945,1.077915795,0.943,1.859699988,-32.68039518,-0.056882582,-0.056882582,0.350548203,0.197687679,0.441187826,0.915690459,0.96,1.888656239,-12.89305331,29.11908728,-0.181087416,-0.181087416,0.410043722,0.290398515,0.507802842,0.967156287,0.97,2.058147779,-35.66096934,-0.198055885,-0.198055885,0.318324309,0.168265893,0.359400791,1.009334773,0.918,1.395795775,-55.10724804
2,N_AC300b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.400477567,0.4,0,0.2,normal,-0.070802856,-0.070802856,0.232419238,0.086383714,0.285398182,1.003427263,0.945,1.114919194,-24.80844668,92.55135047,-0.098634433,-0.098634433,0.246025796,0.097207504,0.295916068,1.014008018,0.944,1.143945265,-33.33189513,-0.063928452,-0.063928452,0.225679269,0.081691036,0.278714676,0.963401503,0.96,1.134045829,-22.93688048,92.5512956,-0.104525389,-0.104525389,0.254266636,0.103238509,0.303982496,0.938577405,0.963,1.269569757,-34.38533156,-0.187679552,-0.187679552,0.251797906,0.096355803,0.247372962,0.998323054,0.878,0.971313032,-75.86906456
3,N_AC1000b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.400477567,0.4,0,0.2,normal,-0.055206165,-0.055206165,0.172363828,0.046824102,0.209332753,0.990606976,0.945,0.828350025,-26.37244482,316.5279148,-0.06958107,-0.06958107,0.181096738,0.051706326,0.216591117,0.993924846,0.938,0.854211042,-32.12554175,-0.053981667,-0.053981667,0.170350633,0.045713367,0.206983548,0.977892321,0.952,0.829703416,-26.08017264,316.5280592,-0.070812184,-0.070812184,0.180893427,0.051524639,0.215770319,0.957617945,0.951,0.883237531,-32.8183156,-0.172872391,-0.172872391,0.21526252,0.068145845,0.19570202,0.988826216,0.86,0.775806518,-88.33449496
4,N_AC100b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.400477567,0.4,0,0.2,normal,-0.089042642,-0.089042642,0.342634027,0.194671622,0.432353975,1.028689094,0.932,1.647530289,-20.59484753,28.95710432,-0.116955497,-0.116955497,0.381153739,0.239883501,0.475848026,1.065125871,0.939,1.751239019,-24.57832982,-0.079466451,-0.079466451,0.335369553,0.18073793,0.417848789,0.92103784,0.958,1.778360327,-19.0179923,28.95708764,-0.121306966,-0.121306966,0.37814506,0.236374431,0.471042388,0.957271668,0.963,1.928869614,-25.75287682,-0.253745075,-0.253745075,0.341920063,0.181473481,0.342350876,1.017151854,0.888,1.319361281,-74.11842443
5,N_AC300b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.400477567,0.4,0,0.2,normal,-0.085090104,-0.085090104,0.229361101,0.08129903,0.27227346,1.010720677,0.945,1.055971623,-31.25170708,93.06175256,-0.10203757,-0.10203757,0.242661004,0.089617725,0.281576534,1.011292987,0.933,1.091434181,-36.23795228,-0.083298921,-0.083298921,0.221940235,0.075609585,0.262182406,0.961295265,0.952,1.069115998,-31.77136175,93.06166841,-0.107374144,-0.107374144,0.251620758,0.096080291,0.290922189,0.935243425,0.952,1.219355299,-36.90820022,-0.256107829,-0.256107829,0.289858795,0.120558812,0.234568997,0.996872801,0.792,0.922378032,-109.1823014
6,N_AC1000b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.693147181,0.400477567,0.4,0,0.2,normal,-0.084045306,-0.084045306,0.172277503,0.047363824,0.200849573,0.998023957,0.926,0.788874709,-41.84490172,314.3226983,-0.09607917,-0.09607917,0.181713892,0.053173597,0.209729292,1.00550405,0.925,0.817623479,-45.81104009,-0.083286001,-0.083286001,0.170271094,0.046542623,0.199112307,0.990684031,0.933,0.787845446,-41.82865535,314.3224583,-0.096972737,-0.096972737,0.182138633,0.053488923,0.210069847,0.969582065,0.935,0.84929239,-46.16214012,-0.254156336,-0.254156336,0.268573114,0.100744443,0.190224039,1.008944046,0.729,0.739054393,-133.6089475
7,N_AC100b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,1.108662625,0.400477567,0.4,0,0.2,normal,-0.114794632,-0.114794632,0.342934274,0.195520972,0.427230254,1.038208387,0.937,1.613078688,-26.86949964,29.14840686,-0.06271916,-0.06271916,0.38939648,0.250043782,0.496343073,1.088228179,0.94,1.787887072,-12.63625177,-0.111616546,-0.111616546,0.335811714,0.181738251,0.411642378,0.948155498,0.954,1.701839492,-27.11493083,29.1467018,-0.055079003,-0.055079003,0.383793924,0.242210361,0.489301625,0.973106221,0.967,1.971035726,-11.25665652,-0.381662083,-0.381662083,0.419774068,0.254114759,0.329480456,0.994641778,0.803,1.298497292,-115.8375483
8,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,1.108662625,0.400477567,0.4,0,0.2,normal,-0.137205704,-0.137205704,0.235240306,0.085275813,0.257908752,0.968131369,0.932,1.04426296,-53.19932087,93.32491475,-0.119301041,-0.119301041,0.246148759,0.093812993,0.282240881,0.995994421,0.939,1.110813374,-42.26922768,-0.137239038,-0.137239038,0.23184549,0.083138191,0.253708505,0.953443349,0.937,1.043081445,-54.09319552,93.32490615,-0.121271663,-0.121271663,0.250667128,0.098150567,0.289010861,0.93228975,0.95,1.215182038,-41.96093631,-0.378786861,-0.378786861,0.389727023,0.198486415,0.234652916,1.002199548,0.61,0.917803773,-161.4243147
9,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,1.108662625,0.400477567,0.4,0,0.2,normal,-0.152614088,-0.152614088,0.201410367,0.061589159,0.195796925,0.970569203,0.896,0.790783223,-77.94508931,315.482739,-0.142501933,-0.142501933,0.203636601,0.06401617,0.20917247,0.985414484,0.901,0.832077294,-68.12652402,-0.151488063,-0.151488063,0.199677019,0.060708217,0.194415484,0.969763007,0.894,0.785856636,-77.91975211,315.4824288,-0.140007758,-0.140007758,0.200670537,0.062382821,0.20693833,0.953345508,0.912,0.850880758,-67.65675467,-0.392727331,-0.392727331,0.394272004,0.189628649,0.188226784,0.99083683,0.444,0.74465887,-208.6458277
10,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.693147181,0.4,0,0.2,normal,-0.068271725,-0.068271725,0.361463008,0.213815314,0.457562727,1.072968431,0.931,1.671636258,-14.92073564,29.41761569,-0.112311005,-0.112311005,0.396561015,0.262423944,0.500060239,1.100744373,0.939,1.780795036,-22.45949519,-0.04342838,-0.04342838,0.341510478,0.189343629,0.433180389,0.946463145,0.957,1.794085625,-10.0254723,29.41759975,-0.124415574,-0.124415574,0.39669393,0.263209376,0.497974015,0.993500943,0.967,1.964791561,-24.98435063,-0.213330693,-0.213330693,0.324858302,0.167727868,0.349771674,1.014436799,0.913,1.35156746,-60.991415
