Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,NAIVE.ate,NAIVE.bias,NAIVE.mae,NAIVE.mse,NAIVE.empse,NAIVE.vr,NAIVE.cov,NAIVE.ciwidth,NAIVE.std_bias
1,N_AC100b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.400477567,0.4,0,0.2,normal,-0.016837207,-0.016837207,2.401103298,9.162741485,3.028469848,1.030949697,0.936,11.51499796,-0.55596416,29.11910984,-0.062083164,-0.062083164,2.398829426,9.088293813,3.015548545,0.981803702,0.952,12.03981312,-2.058768532,-0.068708945,-0.068708945,2.324421029,8.643895529,2.940718013,0.907042918,0.959,12.70877327,-2.336468316,29.11908728,-0.050468257,-0.050468257,2.352775442,8.748325762,2.958806052,0.887665855,0.969,13.0660727,-1.705696701,-0.205645868,-0.205645868,1.942881814,6.044389479,2.451144093,1.001469631,0.948,9.594208339,-8.389791079
2,N_AC300b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.400477567,0.4,0,0.2,normal,-0.057652923,-0.057652923,1.527081512,3.810753543,1.952239976,0.986825576,0.946,7.754805173,-2.953167855,92.55135047,-0.053797065,-0.053797065,1.544044005,3.879346622,1.969856043,0.967080698,0.951,7.984539259,-2.731015051,-0.042480331,-0.042480331,1.484627219,3.58708969,1.894432365,0.934755097,0.964,7.944367923,-2.242377809,92.5512956,-0.04794426,-0.04794426,1.610253175,4.21708023,2.054020589,0.904831868,0.967,8.898462845,-2.334166455,-0.148306414,-0.148306414,1.300418313,2.745767386,1.651211402,0.952322594,0.958,6.796677717,-8.981673302
3,N_AC1000b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.400477567,0.4,0,0.2,normal,-0.063786276,-0.063786276,1.149618029,2.111782326,1.452523136,0.979318313,0.96,5.814030016,-4.391412034,316.5279148,-0.069601729,-0.069601729,1.187798737,2.254443003,1.500616691,0.973981422,0.965,6.039447165,-4.638208359,-0.067397779,-0.067397779,1.13315284,2.04744867,1.430017888,0.960271772,0.964,5.837479847,-4.713072427,316.5280592,-0.067138883,-0.067138883,1.188171041,2.253303871,1.500349056,0.937562047,0.97,6.272929075,-4.474884202,-0.191129352,-0.191129352,1.077089673,1.884851665,1.36021006,0.97453141,0.959,5.471271015,-14.05145846
4,N_AC100b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.400477567,0.4,0,0.2,normal,-0.058956501,-0.058956501,2.49702608,9.860331636,3.14113395,1.051177766,0.938,11.71354572,-1.876917747,28.95710432,0.002182021,0.002182021,2.498658701,9.65115978,3.108185296,1.000233088,0.945,12.18102323,0.070202395,0.031682552,0.031682552,2.49108101,9.434166933,3.07288232,0.926277143,0.958,13.00418287,1.03103693,28.95708764,0.009780711,0.009780711,2.474160482,9.432595777,3.072774326,0.910484446,0.966,13.22928039,0.318302303,-0.186400769,-0.186400769,1.958973386,5.928442751,2.428908623,0.989394155,0.958,9.623209114,-7.674260239
5,N_AC300b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.400477567,0.4,0,0.2,normal,-0.114225921,-0.114225921,1.510360992,3.631462846,1.90316508,0.962247332,0.956,7.75296515,-6.001892462,93.06175256,-0.130810964,-0.130810964,1.560747616,3.832442307,1.954264554,0.961079449,0.956,7.970804385,-6.693615979,-0.116841609,-0.116841609,1.497044783,3.509628665,1.870688691,0.921514192,0.966,7.957517081,-6.245914097,93.06166841,-0.141679982,-0.141679982,1.609126108,4.080049517,2.015946512,0.89021188,0.973,8.876948618,-7.027963329,-0.267256579,-0.267256579,1.393934262,2.983894392,1.707449471,0.986697129,0.95,6.78331652,-15.65238581
6,N_AC1000b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.693147181,0.400477567,0.4,0,0.2,normal,-0.046574478,-0.046574478,1.189379725,2.266548515,1.505538435,1.012775135,0.937,5.827159471,-3.093542967,314.3226983,-0.050920989,-0.050920989,1.241709177,2.470609505,1.571778306,1.018651754,0.938,6.048443663,-3.239705557,-0.047361261,-0.047361261,1.182029519,2.235883125,1.495284559,1.001817345,0.943,5.850774889,-3.167374455,314.3224583,-0.05042859,-0.05042859,1.24393212,2.480083637,1.57480812,0.98317678,0.954,6.278763413,-3.202205346,-0.214199189,-0.214199189,1.135489382,2.012781101,1.40316381,1.006423786,0.944,5.465193829,-15.26544422
7,N_AC100b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,1.108662625,0.400477567,0.4,0,0.2,normal,-0.153711109,-0.153711109,2.442855024,9.749657491,3.120218927,1.059184383,0.935,11.54759609,-4.926292428,29.14840686,-0.196106872,-0.196106872,2.379507951,9.322244739,3.048455332,0.986433669,0.945,12.11406879,-6.432991494,-0.192792943,-0.192792943,2.309823281,8.915513122,2.98114596,0.906093636,0.948,12.89698654,-6.467074934,29.1467018,-0.193961532,-0.193961532,2.338581077,8.995882813,2.99453318,0.892850171,0.968,13.14705955,-6.477187598,-0.469687853,-0.469687853,1.911078971,5.887831613,2.38178459,0.971791759,0.954,9.607432808,-19.71999714
8,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,1.108662625,0.400477567,0.4,0,0.2,normal,-0.199683406,-0.199683406,1.595744863,4.037875053,2.000500836,1.017633798,0.946,7.705934293,-9.9816707,93.32491475,-0.214026988,-0.214026988,1.617850289,4.200429923,2.039308989,1.003281867,0.947,7.967795099,-10.49507402,-0.209164607,-0.209164607,1.535557698,3.809049894,1.941409058,0.965814371,0.952,7.879551075,-10.7738555,93.32490615,-0.231881308,-0.231881308,1.688091231,4.5766416,2.127768798,0.93970336,0.959,8.87588656,-10.89786203,-0.456026587,-0.456026587,1.44076199,3.322762397,1.765763311,1.018814092,0.941,6.793844963,-25.8260314
9,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,1.108662625,0.400477567,0.4,0,0.2,normal,-0.172367376,-0.172367376,1.206889481,2.27283584,1.498456105,1.008816855,0.949,5.822503823,-11.50299799,315.482739,-0.178460406,-0.178460406,1.248622665,2.416986035,1.545161947,1.003180164,0.95,6.037722584,-11.54962468,-0.167332111,-0.167332111,1.193773104,2.198009362,1.473832252,0.988565416,0.95,5.844141599,-11.35353841,315.4824288,-0.176924508,-0.176924508,1.252448602,2.431354042,1.549985231,0.96835962,0.955,6.274353381,-11.41459317,-0.409833065,-0.409833065,1.166234452,2.124270715,1.39938052,1.002087155,0.934,5.474045654,-29.28674936
10,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.693147181,0.4,0,0.2,normal,-0.120022515,-0.120022515,2.487040721,9.692645291,3.112543624,1.058962881,0.93,11.52160007,-3.856091014,29.41761569,-0.139974237,-0.139974237,2.474950955,9.474980958,3.076500126,1.003035134,0.947,12.02316697,-4.549788113,-0.164055015,-0.164055015,2.428956421,9.021088159,3.000529501,0.920490039,0.959,12.77782378,-5.467535493,29.41759975,-0.126361545,-0.126361545,2.42910713,9.134324131,3.021172682,0.907244369,0.962,13.05357156,-4.182533032,-0.236079344,-0.236079344,1.988048075,5.965249631,2.432166032,0.994734575,0.947,9.584381491,-9.706547193
11,N_AC300b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.693147181,0.4,0,0.2,normal,-0.009034606,-0.009034606,1.561933661,3.986828266,1.997683003,1.018694409,0.94,7.687068276,-0.45225425,93.17868712,0.02138127,0.02138127,1.579462592,4.104359639,2.026822758,0.999227075,0.949,7.951144858,1.054915635,0.028025262,0.028025262,1.51406845,3.712146952,1.927453401,0.960694442,0.951,7.864601025,1.454004634,93.17864147,0.012602726,0.012602726,1.642487516,4.420506193,2.103514235,0.931102028,0.966,8.855768793,0.599127192,-0.160694607,-0.160694607,1.351656172,3.061550577,1.743205836,1.009084009,0.953,6.771726882,-9.218338068
12,N_AC1000b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.693147181,0.4,0,0.2,normal,-0.011923455,-0.011923455,1.185980894,2.185209236,1.478936889,0.995298743,0.946,5.82470953,-0.806217993,314.8663154,-0.017851609,-0.017851609,1.226290435,2.348632037,1.533187536,0.994124666,0.947,6.045504058,-1.164346074,-0.015484552,-0.015484552,1.167807635,2.121679428,1.457245079,0.977050173,0.958,5.846471245,-1.062590797,314.8658952,-0.01521959,-0.01521959,1.224915567,2.339041321,1.53008197,0.955141333,0.963,6.27950116,-0.994691143,-0.168159443,-0.168159443,1.105879483,1.94039443,1.383485043,0.991032154,0.951,5.472235881,-12.15477127
13,N_AC100b_X0.69b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.693147181,0.4,0,0.2,normal,-0.072756548,-0.072756548,2.383125118,8.762739618,2.960779005,1.009046238,0.95,11.50199069,-2.457344784,29.57000969,-0.053885339,-0.053885339,2.372108403,8.692554611,2.949296413,0.959430895,0.959,12.04988244,-1.827057437,-0.018709268,-0.018709268,2.332163259,8.47158082,2.911994247,0.89306266,0.964,12.78164254,-0.642489862,29.56999255,-0.059886913,-0.059886913,2.328921173,8.440010234,2.906005619,0.870743854,0.972,13.08230044,-2.06079825,-0.215394564,-0.215394564,1.91053814,5.682461413,2.375228053,0.970833859,0.955,9.590438968,-9.068374033
14,N_AC300b_X0.69b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.693147181,0.4,0,0.2,normal,-0.137062585,-0.137062585,1.620976326,4.045596307,2.007695444,1.019814288,0.943,7.717112433,-6.826861367,92.50742206,-0.14730631,-0.14730631,1.660965306,4.250239875,2.057370531,1.014245068,0.947,7.951474987,-7.159930957,-0.144557044,-0.144557044,1.588469514,3.889811629,1.967939958,0.976091489,0.954,7.903135075,-7.345602338,92.50736412,-0.156128873,-0.156128873,1.727967856,4.586203057,2.136912077,0.944735843,0.964,8.866543473,-7.306284355,-0.385730537,-0.385730537,1.419244205,3.091276473,1.716226634,0.993508995,0.951,6.771438224,-22.47550116
