Scenario,file_id,N_AC,b_X,b_EM,meanX_AC,corX,sdBC,shapeBC,maic.ate,maic.bias,maic.mae,maic.mse,maic.empse,maic.vr,maic.cov,maic.ciwidth,maic.std.bias,maic.aess.mean,stc.ate,stc.bias,stc.mae,stc.mse,stc.empse,stc.vr,stc.cov,stc.ciwidth,stc.std.bias,RA_MAIC.ate,RA_MAIC.bias,RA_MAIC.mae,RA_MAIC.mse,RA_MAIC.empse,RA_MAIC.vr,RA_MAIC.cov,RA_MAIC.ciwidth,RA_MAIC.std.bias,RA_MAIC.aess.mean,K_STC.ate,K_STC.bias,K_STC.mae,K_STC.mse,K_STC.empse,K_STC.vr,K_STC.cov,K_STC.ciwidth,K_STC.std.bias,NAIVE.ate,NAIVE.bias,NAIVE.mae,NAIVE.mse,NAIVE.empse,NAIVE.vr,NAIVE.cov,NAIVE.ciwidth,NAIVE.std_bias,shapeBC_f
1,N_AC100b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.400477567,0.4,0,0.2,normal,0.861031775,0.861031775,3.971405904,24.69252301,4.896439769,1.297905152,0.842,14.78820788,17.58485381,29.11910984,1.507100696,1.507100696,3.869282072,22.91766841,4.546095344,1.063764108,0.905,16.75217856,33.15154175,8.938793505,8.938793505,10.64271853,146.6559287,8.174394176,3.846612522,0.172,8.330196031,109.3511435,29.11908728,1.529998347,1.529998347,3.833076297,22.39190858,4.480076419,0.96789121,0.924,18.14416401,34.15116628,2.67788149,2.67788149,3.80192697,21.8284925,3.830419734,1.024930053,0.861,14.6497504,69.91091514,Norm
2,N_AC300b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.400477567,0.400477567,0.4,0,0.2,normal,0.832471312,0.832471312,2.585116614,10.76238147,3.174815339,1.173949811,0.891,10.60100468,26.22109391,92.55135047,1.167899482,1.167899482,2.561746227,10.21189932,2.976032071,1.009530662,0.925,11.5556979,39.2435113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.244793677,1.244793677,2.665868129,11.06793083,3.086737352,0.947801608,0.94,12.76616116,40.3271654,2.655684872,2.655684872,3.134753435,14.28613264,2.690856967,1.00410169,0.839,10.50487773,98.69290358,Norm
3,N_AC1000b_X0.4b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.400477567,0.400477567,0.4,0,0.2,normal,0.794373655,0.794373655,1.996616178,6.166709409,2.353979848,1.0772043,0.915,8.56609229,33.74598368,316.5279148,1.034749844,1.034749844,2.08207408,6.674453377,2.368407797,1.016770506,0.925,9.130858844,43.68968239,-0.541941482,-0.541941482,0.542175489,0.315613769,0.148105145,36.61846508,0,0.015854337,-365.9167161,316.5280592,1.045568186,1.045568186,2.086663803,6.697760413,2.368577155,0.985556924,0.93,9.420715951,44.14330283,2.617901938,2.617901938,2.871505931,11.79518548,2.224122669,1.022397136,0.762,8.527411071,117.7049258,Norm
4,N_AC100b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.693147181,0.400477567,0.4,0,0.2,normal,1.419628984,1.419628984,3.909848685,24.31009915,4.724094598,1.215087164,0.879,15.24014992,30.05081619,28.95710432,1.817966964,1.817966964,3.96315526,24.3603866,4.590910495,1.019632951,0.911,17.64952618,39.59926828,-0.726650527,-0.726650527,0.741766422,0.703725656,0.419381148,17.82036282,0.022,0.092250865,-173.2673322,28.95708764,1.792864301,1.792864301,3.922600638,23.86136317,4.546170744,0.932835588,0.939,19.10375427,39.43680082,4.146008907,4.146008907,4.703128973,31.73582072,3.815886772,0.98316741,0.8,15.21409389,108.6512561,Norm
5,N_AC300b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,0.693147181,0.400477567,0.4,0,0.2,normal,1.204853073,1.204853073,2.648990451,11.29653755,3.139223048,1.131019405,0.887,10.8800328,38.38061377,93.06175256,1.60905956,1.60905956,2.75117691,12.18196287,3.098788907,1.010539269,0.904,12.02034367,51.92543306,-0.721160045,-0.721160045,0.721471148,0.573536721,0.231340506,25.24991427,0,0.035914503,-311.7309877,93.06166841,1.6756359,1.6756359,2.853965285,13.09304819,3.208673886,0.94621002,0.914,13.29278939,52.22206928,4.025089082,4.025089082,4.2163491,23.77823564,2.753993102,0.995787664,0.695,10.84112103,146.1546537,Norm
6,N_AC1000b_X0.69b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,0.693147181,0.400477567,0.4,0,0.2,normal,1.265511092,1.265511092,2.226759745,7.637770547,2.458107914,1.096783573,0.89,8.785330311,51.48313808,314.3226983,1.60394717,1.60394717,2.411555268,8.762625385,2.48921173,1.035091577,0.886,9.426731797,64.43594775,-0.725022846,-0.725022846,0.725022846,0.54465165,0.137885948,33.4988531,0,0.01613497,-525.8134383,314.3224583,1.60690674,1.60690674,2.413672089,8.753802742,2.485524351,1.000841754,0.901,9.734882049,64.65061344,4.080403274,4.080403274,4.156773335,21.91603628,2.296000222,1.02670006,0.552,8.766100092,177.7178954,Norm
7,N_AC100b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,1.108662625,0.400477567,0.4,0,0.2,normal,1.984673848,1.984673848,3.98656345,25.55777172,4.651933137,1.225336222,0.858,14.88182793,42.66342163,29.14840686,2.1083162,2.1083162,4.112638986,27.19892427,4.772494502,1.066373037,0.894,17.54342433,44.17639871,-0.962813281,-0.962813281,0.966827057,1.098269202,0.414042533,17.86876518,0.008,0.09082983,-232.5397042,29.1467018,1.974259099,1.974259099,4.026846191,26.1180929,4.716209977,0.975242449,0.923,18.95652043,41.86113656,6.197338865,6.197338865,6.39071901,54.15857404,3.970810039,1.020835215,0.652,15.24760225,156.0724085,Norm
8,N_AC300b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,300,1.108662625,0.400477567,0.4,0,0.2,normal,2.137459529,2.137459529,2.963336373,13.48460631,2.98744002,1.109079105,0.831,10.55880472,71.54819895,93.32491475,2.428239656,2.428239656,3.188073034,15.42381975,3.088204806,1.025204783,0.864,11.80792423,78.62948892,-0.956707524,-0.956707524,0.956707524,0.962661234,0.217759884,24.23403283,0,0.035223319,-439.3405733,93.32490615,2.485974076,2.485974076,3.294197695,16.46128842,3.208038782,0.959522303,0.894,13.10577244,77.49202068,6.330362958,6.330362958,6.345881242,47.49050605,2.724781699,0.998971186,0.362,10.69194802,232.3255093,Norm
9,N_AC1000b_X1.11b_EM0.4meanX_AC0.4corX0sdBC0.2shapeBCNorm,1000,1.108662625,0.400477567,0.4,0,0.2,normal,2.272021959,2.272021959,2.617658846,9.888409688,2.175099299,1.010594085,0.805,8.436851857,104.4560108,315.482739,2.632418706,2.632418706,2.921636574,12.06952264,2.268267937,0.976208664,0.787,9.108141787,116.0541338,-0.965935768,-0.965935768,0.965935768,0.951319241,0.135298332,33.95114907,0,0.01562126,-713.9302854,315.4824288,2.625023206,2.625023206,2.916531085,12.01347112,2.26447613,0.940344824,0.809,9.439710937,115.9218758,6.429131418,6.429131418,6.430180682,45.95227435,2.150155047,0.99358311,0.15,8.482886659,299.0078054,Norm
10,N_AC100b_X0.4b_EM0.69meanX_AC0.4corX0sdBC0.2shapeBCNorm,100,0.400477567,0.693147181,0.4,0,0.2,normal,1.008266193,1.008266193,4.070606867,25.63448965,4.964124441,1.273596212,0.858,15.27879092,20.31105797,29.41761569,1.470565655,1.470565655,4.046515342,25.16176289,4.798147743,1.064898509,0.906,17.66214656,30.64861139,-0.728314052,-0.728314052,0.741618484,0.696190462,0.407326673,17.38170696,0.018,0.091860438,-178.8034274,29.41759975,1.439107407,1.439107407,3.983252861,24.39454627,4.727140997,0.970102513,0.933,19.10112793,30.44350502,3.885066445,3.885066445,4.5714816,30.22174688,3.891419888,0.999581369,0.82,15.26047417,99.83673202,Norm
